Arman Eshraghi,Founder and CEO,"Austin, TX",Qrvey
Armen Tatevosian,CEO,Illinois,ELASTECH Services
Arnab Sen,Vice President Data Engineering,"Dallas, TX",Tredence Inc.
Arnav Bathla,Founder and CEO,"San Francisco, CA",Layerup (rebranded from Coinbooks)
Arnie Gordon,President,"New York, NY",Arlyn Scales
Art Zeile,CEO,"Denver, CO","DHI Group, Inc"
Art Gilliland,Chief Executive Officer,"San Francisco, CA",Delinea
Arthur Pereless,President/CEO,"Red Bank, NJ",Pereless Systems /ATS OnDemand
Arthur Miller,Chief Technology Officer,"Scottsdale, AZ",equipifi
Arti Raman,Founder and CEO,"San Jose, CA",Titaniam
Arto Minasyan,Co-Founder & President,"San Francisco, CA",10Web
Arturo Garcia,CEO and Founder,"Madrid, Spain",DNAMIC
Arturs Kruze,CEO,"Riga, Latvia",Magebit
Artyom Poghosyan,CEO & Co-Founder,"Los Angeles, CA",Britive
Arun Kumar,Chief Data & Marketing Technology Officer,"New York, NY",IPG
Arun Upadhyay,Founder & CEO,"New York, NY",LionO360
Arun Samuga,Chief Innovation Officer,"Atlanta, GA","Elemica International, Inc."
Arun Kumar,Head of IT,"Reston, VA",Revature
Aruna Ravichandran,"SVP & CMO, Webex by Cisco","Los Gatos, CA","Cisco Systems, Inc."
Arungalai Anbarasu,Chief Technology & Strategy Officer,"Hanover, Germany",Waygate Technologies - a Baker Hughes Business
Arvind Jain,CEO,"Palo Alto, CA",Glean
Arvind Muthukrishnan,"Head of Product, Wickr","Seattle, WA",Amazon Web Services
Arvind Kandula,Chief Technology officer,"Columbus, OH",DevCare Solutions
Asad Khan,CEO and Co-Founder,"San Francisco, CA",LambdaTest Inc
Asaf Kochan,"Co-Founder and President, Sentra | Former Commander of Unit 8200","Tel Aviv-Yafo, Israel",Sentra
Asaf Ashkenazi,CEO,"San Diego, CA",Verimatrix
Asanka Abeysinghe,CTO,"San Francisco, CA","WSO2, Inc"
Ash Vesali,Director of Commercialisation,"Melbourne VIC, Australia",Iota
Asha Sharma,Chief Operating Officer,"Seattle, WA",Instacart
Ashish Kachru,"CEO, DataLink Software","Reston, VA",DataLink Software
Ashish Goyal,CEO,"San Francisco, CA",SRIJAN
Ashish Garg,Co-founder & CEO,"Milpitas, CA 95035",Eltropy
Ashish Fernando,CEO,"Salt Lake City, UT",iSchoolConnect
Ashish Srimal,co-founder and CEO,"San Francisco, CA",Ratio
Ashley Stephenson,CTO,"New York, NY",Corero
Ashmeet Singh Rekhi,Founding Engineer,"San Jose, CA",Luminai
Ashok Balasubramanian,Chief Executive Officer,India,Open Weaver Inc
Ashok Reddy,CEO,"New York, NY",KX
Ashwin Rangan,SVP Engineering & CIO,"Orange County, CA",ICANN
Asif Hasan,Co-founder and President,"Marlborough, MA",Quantiphi
Asif Alam,CEO/Board Member,"San Francisco, CA",Compliance.ai
Asif Makhani,CTO,"San Francisco, CA",Handshake
Asim Rizvi,Chief Product Officer,"New York, NY",Nuvolo
Asim Razzaq,"CEO, Founder","Palo Alto, CA",Yotascale
Assaf Ronen,Chief Platform Officer,"Seattle, WA",Payoneer
Assaf Baciu,Co-founder and COO,"London, UK",Persado
Assaf Feldman,CTO and Co-Founder,"New York, NY",Riskified
Aswin Sarang,CEO,Dubai - United Arab Emirates,Reliable Robotics LLC
Atal Bansal,President & CEO,"Sunrise, FL",Chetu
Atif Khan,CTO/Co-founder,"San Jose, CA",Alkira
Atul Sharma,Chief Technology Officer,"New York, NY",Peak
Atul Vashistha,Chairman,"New York, NY",Supply Wisdom
Atul Tulshibagwale,Chief Technology Officer,"Palo Alto, CA",SGNL.ai
Atur Mehta,Co-Founder & CTO,"Fremont, CA",Square Off
Aubrey Tucker,Co-Founder & CEO,"British Columbia, Canada",LEVEL Bot Technology Inc.
Aurangzeb Khan,"Senior Vice President, Intelligent Vision Systems","Cupertino, CA",Jabra (GN Audio)
Austin Lawson,President,"Knoxville, TN","Thirium, Inc"
Austin Gadient,CTO and Co-Founder,"Albuquerque, NM",Vali Cyber
Avani Desai,Chief Executive Officer,"Orlando, FL",Schellman
Avetis Antaplyan,Founder & CEO,"Los Angeles, CA",HIRECLOUT
Avi Shua,Chief Innovation Officer,"Tel Aviv-Yafo, Israel",Orca Security
Avi Veidman,CEO,Israel,Nucleai
Aviv Grafi,CTO/Founder,Israel,Votiro
Aydin Kilic,CEO,"Vancouver, BC, Canada",HIVE Digital Technologies
Ayesha Khanna,Co-founder and CEO,Singapore,Addo
Ayman Hariri,CEO,South Africa,Vero
Ayman Shoukry,CTO,"Santa Ana, CA",Specright Inc.
Aymeric Roffé,CEO,"Paris, France",Wizz
Aytunc Ozturk,Founder & CEO Mother.com,"San Diego, CA",Mother.com
Ayush Jasuja,Co-Founder,"San Francisco, CA",SpeedyBrand
Azmath Pasha,Chief Technology Officer,"Naperville, IL",Metawave Digital
Azra Nurkic,CEO and Co-founder,"Washington, DC",Institute for Development Impact
BJ Sievers,Chief Information Officer,"Lexington Park, MD",Cedar Point Federal Credit Union
BJ Vander Linden,CIO,"Salt Lake City, UT",The Larry H Miller Company
Babak Hedayati,CEO & Co-Founder,"San Francisco, CA",TapClicks
Babu Sivadasan,Chairman & CEO,"San Francisco, CA",JIFFY.ai
Bagirathi Narayanan,Senior Vice President - Chief Technology Architect,"Wake Forest, NC 27587",Teladoc Health
Bagrat Safarian,CEO & Co-Founder of Local Express,"California City, CA",Local Express
Balaji Raghavan,Chief Technology Officer,"San Francisco, CA",Uniphore
Balaji Sreenivasan,Founder & CEO,"Austin, TX",Aurigo Software Technologies Inc.
Bankim Chandra,CEO,"London, UK",DotSquares LLC
Banwari Agarwal,"CEO of Banking, Financial Services and Insurance","Hartford, CT",Sutherland
Barada Sahu,"Founder, CEO",India,Mason
Barry Cousins,Distinguished Analyst & Research Fellow,"Ontario, Canada",Info-Tech Research Group
Barry Cooper,"President, CX Division","Hoboken, NJ",NICE
Barry Field,Chief Executive Officer,"Miami, FL",Appgate
Bart De Muynck,Strategic Advisor,"Keller, TX",Bart De Muynck LLC
Bart Van Aardenne,CEO and Co-Founder,"Orange County, CA",Terranet Communications
Bart McDonough,Founder and Chief Executive Officer at Agio,"New York, NY",Agio
Bartosz Kubik,Co-Founder,Poland,Ekoenergetyka - Polska SA
Bartosz Skwarczek,CEO & Founder,"Amsterdam, Netherlands",G2A Capital Group
Bashar Hindi,CEO,"Houston, TX",ServerMonkey.com
Bashir Abdallah,Chief Product Officer,"Burlington, VT",XOi Technologies
Basil Alwan,CEO,"San Francisco, CA",Tarana Wireless
Bastin Gerald,Profit.co,"San Francisco, CA",Profit.co
Beck Besecker,Founder & CEO,"St. Petersburg, FL",Marxent
Beena Jacob,Chief Technology Officer,"Marlboro, NJ",Donoma Software
Beenu Arora,Chairman and CEO,"Melbourne VIC, Australia",Cyble Inc.
Bejoy Pankajakshan,EVP - Chief Technology & Strategy Officer,"Dallas, TX",MAVENIR
Bel Lepe,CEO & Co-Founder,"Compton, CA",Cerby
Ben Wiechman,Director of Network Strategy and Engineering,"Melrose, MN 56352",Arvig
Ben Pippenger,Chief Strategy Officer,"Indianapolis, IN",Zylo
Ben Herzberg,Chief Scientist,Israel,Satori
Ben Knaus,CEO,"Minneapolis, MN",Rillafi
Ben Johnson,Founder/CEO,"London, UK",BML Digital
Ben Freedman,CEO,"Chicago, IL",Boomerang Returns
Ben Ben Aderet,CEO,"Sunnyvale, CA","GRSee Consulting, Consilium Labs"
Ben Finke,Co-Founder/CTO,"Jacksonville, FL",OnDefend
Ben Dittman,Founder,"Bend, OR",Avea Solutions
Ben Forgan,CEO and co-founder,"Chicago, IL",Hologram
Benjamin Crudo,CEO,"Montreal, Canada",Diff Agency
Benjamin Durham-Kilcullen,"VP, Engineering","Austin, TX",Stova
Benjamin Fabre,"Co-founder, Chief Executive Officer","New York, NY",DataDome
Benjamin Chou,President,"Fountain Valley, CA 92708",Personable
Benny Lakunishok,CEO and Co-Founder,Israel,Zero Networks
Benny Buller,Founder and CEO of Velo3D,"San Francisco, CA",Velo3D
Bentsi Benatar,"CMO, Co-founder","Tel Aviv-Yafo, Israel",Sepio
Bernadette Nixon,Chief Executive Officer and Board Member,"Boston, MA",Algolia
Bernard Fraenkel,Practice Lead,"San Francisco, CA",Silicon Valley Software Group
Bernd Greifeneder,Founder/ CTO,"Linz, Austria",Dynatrace
Bertrand Chen,CEO,Hong Kong,Global Shipping Business Network
Bethlam Forsa,Chief Executive Officer,"New York, NY",Savvas Learning Company
Bhakti Vithalani,Founder & CEO,"San Francisco, CA",BigSpring
Bhanu Jagasia,Chief Technology Samurai,"McLean, VA",bladestack.io
Bharat Sunkari,CEO & Technology Principal,"Chicago, IL",Tek Analytics
Bharath Srinivas,"Global CTO, Accenture Workday Business Group","San Francisco, CA",Accenture
Bhaskar Gangipamula,Founder and President,"Seattle, WA",Quadrant Resource LLC
Bhaskar Roy,VP Growth,"San Francisco, CA",Workato
Bhavani Amirthalingam,"Senior Vice President, Chief Digital Information Officer","St. Louis, MO",Ameren Corporation
Bhavna Juneja,Global CEO,"Greenwich, CT","Infinity, a Stamford Technology Company"
Bhavya Gohil,Co-Founder & CEO,California,Square Off
Bhupesh Timsina,Director- Digital Business & Technology Strategy,"Austin, TX",Cognizant
Bhushan Parikh,Co-Founder and Principal,"Scottsdale, AZ","Get Digital Velocity, LLC"
Bibhakar Pandey,CEO,"Atlanta, GA",CX Studios
Biju Nair,"EVP & President, Global Connected Living","Chicago, IL",Assurant
Bikram Dahal,Co-founder & CTO,"New York, NY",Docsumo
Bilal Khan,Chief Technology & Security Officer,"Newark, NJ",NJ TRANSIT
Bill McSorley,President,"New York, NY",WM3 Group LLC
Bill Rokos,CTO,"Anaheim, CA",Parsec Automation
Bill Bruno,CEO,"Barrington Hills, IL","Celebrus, a D4t4 Solutions Company"
Bill Catania,Founder & CEO,"Orlando, FL",OneRail
Bill Brown,Chairperson and Co-Founder,"New York, NY","8 Rivers Capital, LLC"
Bill Conner,President and CEO,"Dallas, TX",SonicWall
Bill Edwards,President,"Colorado Springs, CO",Building Intelligence
Bill Waid,Chief Product and Technology Officer,"San Rafael, CA",Fico
Bill Miller,CEO,"Kansas City, MO",WellSky
Bill Pappas,Head of Global Technology and Operations,"Charlotte, NC",MetLife
Bill Magnuson,CEO and Cofounder,"New York, NY",Braze
Bill Geary,Executive Vice President and General Manager – Communications & Security Solutions,"Chicago, IL",Wesco
Bill Lowrey,CTO,"Dallas, TX",Istation
Bipul Sinha,CEO & Co-Founder,"San Francisco, CA",Rubrik
Bishnu Nayak,Head of AI Engineering and Innovation,"San Francisco, CA",Kimberly-Clark Corporation
Bjorn Kolbeck,Founder and CEO,"San Francisco, CA",Quobyte
Blake Teipel,CEO,"Austin, TX","Essentium, Inc."
Blake Brannon,Chief Product & Strategy Officer,"Atlanta, GA",OneTrust
Bo Davis,Co-Founder & CEO,"Washington, DC",MarginEdge
Boaz Katz,Co-Founder & Chief Data Officer,Israel,Bizzabo
Bob Venero,President and CEO,Florida,"Future Tech Enterprise, Inc."
Bob Hampe,President & CEO,"Denver, CO",Actall
Bob Dechant,Chief Executive Officer,"Washington, DC",ibex
Bob Karschnia,CEO,"Frisco, TX",Sentient Energy
Bob Bruns,Chief Information Security Officer,"Chicago, IL",Avanade
Bob Quillin,Chief Ecosystem Officer,"Austin, TX",vFunction
Bob van Luijt,CEO and co-founder,"San Francisco, CA",Weaviate
Bob Fabien Zinga,CISO,"San Francisco, CA",Santa Clara University
Bobbi Alexandrova,"SVP, Engineering","Salt Lake City, UT",Loopio
Bobby Patnaik,Chief Technology Officer,"New York, NY",Lafayette Square Holding Company LLC
Bobir Akilkhanov,Founder & CEO,"Jersey City, NJ",Jafton.com
Bojan Šimić,"Cofounder, CEO, CTO","New York, NY",HYPR Corp.
Boris Kontsevoi,President & CEO,"Naples, FL",Intetics Inc.
Boris Abaev,CEO & Co-Founder,"New York, NY",Bidease
Boyan Ivanov,CEO & co-founder,"Sofia, Bulgaria",StorPool Storage
Boyd Clewis,Co-Founder,"Dallas, TX",Baxter Clewis Cybersecurity
Bozhanka Vitanova,Founder & CEO,"New York, NY",TeamLift
Brad Redding,Founder & CEO,"Charleston, SC",Elevar
Brad Mallard,Chief Technology Officer (CTO),United Kingdom,Version 1
Brad Thomas,Chief Executive Officer,"Sydney NSW, Australia",Prophecy International
Brad Parks,Chief Product Officer,Colorado,Morpheus Data
Brad Arkin,"SVP, Chief Security & Trust Officer at Cisco","San Jose, CA",Cisco
Brad Porter,CEO,"Auckland, New Zealand",Orion Health
Brad Anderson,"President, Products and Services","Provo, UT",Qualtrics
Brad Sousa,Chief Technology Officer,"San Diego, CA",AVI Systems
Brady Brim-DeForest,CEO,"Los Angeles, CA",TheoremOne
Bran Ferren,Co-founder and Chief Creative Officer,"Beverly Hills, CA",Applied Minds
Brandi Vandegriff,Chief Technology Officer,"Denver, CO",Alchemer
Brandi Ward,Chief Information Officer,"Wesson, MS 39191",Reagan Family of Companies
Brandon Carl,Senior Director of Artificial Intelligence,"New York, NY",Digital Reasoning
Brandon Daniels,CEO,"Washington, DC",Exiger
Brandon Holden,CEO,"Park City, UT",Eptura
Brandon Bunker,"Vice President of Engineering, Video and Computer Vision","Provo, UT","Vivint Smart Home, Inc"
Brandon Huff,CEO and Co-Founder,"Charleston, SC","TrueFill, Inc."
Branick Weix,CEO,"Boston, MA",Aryeo
Brendan O’Reilly,Group Chief Operating Officer,"London, UK",Boldyn Networks
Brendan O’Connor,CEO and co-founder,"San Francisco, CA",AppOmni
Brenn Hill,Head of Engineering,Vietnam,ZaloPay
Brent Yax,CEO,"Detroit, MI",Awecomm
Brent McCarty,"President, North America","San Diego, CA",ESET
Bret Jordan,Chief Security Strategist,"Salt Lake City, UT",Afero
Brett Austin,Director of Technology,"Kansas City, MO","Argus Consulting, Inc."
Brett Burnett,CEO,"Austin, TX",The BHW Group
Brett Diamond,CEO,No,11:11
Brian Fox,CTO and cofounder,"Goffstown, NH","Sonatype, Inc."
Brian Quinn,President & GM,"San Francisco, CA",AppsFlyer
Brian Fritton,CEO & Founder,"Chicago, IL",Havoc Shield
Brian Keith,Microsoft Federal Azure Data & AI Leader,"Washington, DC",Microsoft
Brian Murphy,CEO & Founder,"Tampa, FL",ReliaQuest
Brian Crotty,CEO,"Atlanta, GA",Fusion Connect
Brian McMahon,President & CEO,"Washington, DC","ThreatBlockr, Inc."
Brian Waldon,Vice President of Product,Washington State,Diamanti
Brian Benn,CIO/SVP,"Atlanta, GA",Atlanta Housing Authority
Brian Neely,CIO + CISO,"Washington, DC",AMERICAN SYSTEMS
Brian Frost,Vice President of Engineering and Operations,"Lake Oswego, OR",Lightspeed Aviation
Brian Spanswick,Chief Information Security Officer and Head of IT,"San Francisco, CA",Cohesity
Brian Walker,"Founder, CEO","Dallas, TX",The CAP Group
Brian Contos,Chief Strategy Officer,"Dublin, CA 94568",Sevco Security
Brian Jackson,Research Director,"Toronto, ON, Canada",Info-Tech Research Group
Brian Berger,President & BOD,"Orange, CA",Cytellix Corporation
Brian Sathianathan,Chief Digital Officer and Co-Founder,"San Jose, CA",Iterate.ai
Brian Pierce,Chief Executive Officer,"San Francisco, CA",CodeLogic
Brian Greenberg,"CIO/CTO, Partner","Chicago, IL",Fortium Partners LP
Brian Reed,Chief Mobility Officer,"Washington, DC",NowSecure Mobile
Brian Stafford,CEO,"New York, NY",Diligent Corporation
Brian Crannell,"Senior Vice President, Corporate Development and Audio Solutions","Clarendon Hills, IL 60514",Knowles Corporation
Brian Platz,Co-founder and co-CEO,"Winston-Salem, NC",Fluree
Brian Bronson,"Executive Vice President, Telecommunications, Media, and Technology Markets","New York, NY",Capgemini Americas
Brian Peterson,Chief Technology Officer,"San Francisco, CA",Dialpad
Brian Foy,Chief Product Officer,"Chicago, IL",Q-Centrix
Brien Colwell,Founder,"San Francisco, CA",BringYour
Brigham Hyde,"President, Data & Analytics","New York, NY",Eversana
Brittany Greenfield,Founder/CEO,"Boston, MA",Wabbi
Brittney Tierce,SVP of Technology and Security,"Pomona, CA",Visory Health
Bron Gondwana,CEO,"Melbourne VIC, Australia",Fastmail
Brooks Borcherding,CEO,"New York, NY",Cloudreach
Bruce Kornfeld,Chief Product Officer,"San Diego, CA",StorMagic
Bruce Kelley,Chief Technology Officer / SVP,"Boston, MA",NetScout Systems
Bryan Williams,Chief Strategy Officer & Director,Pennsylvania,DigiTrends Global Inc.
Bryan Dove,CEO,"Seattle, WA",CommerceHub
Bryan Helmkamp,CEO,"New York, NY",Code Climate
Bryan Smith,Senior Dir. of Technology Research,"Spokane, WA",RiskLens Inc
Bryton Shang,Founder and CEO,"San Francisco, CA",Aquabyte
Bui Hoang Tung,SEVP,"Dallas, TX",Rikkeisoft
Burc Tanir,CEO,"İstanbul, Türkiye",Prisync
Burkhard Boeckem,CTO,"Zürich, Switzerland",Hexagon AB
Buyan Thyagarajan,"Partner, Salesforce CRM Practice Lead","Philadelphia, PA",Eigen X
Byron Fernandez,Group Chief Information Officer,Singapore,TDCX
CJ Colavito,VP of Engineering,"Rockville, MD",Standard Solar
Callum Adamson,CEO,"London, UK",Distributed
Calvin Rhodes,President & CEO,Maryland,"IP-Plus consulting, Inc."
Camellia Chan,CEO and Co-founder of Flexxon,Singapore,Flexxon
Camille Morvan,"Co-founder, chairman & Chief Evangelist",France,Goshaba
Candan Bolukbas,CTO and Co-founder,"Boston, MA",Black Kite
Carl T. Foster,Chief Business Officer,"Boston, MA",Standigm
Carl Rodrigues,"President, CEO and Founder","Mississauga, ON, Canada",SOTI Inc.
Carl Pihl,Founder,"London, UK",TicketingHub
Carl Moberg,CTO and co-founder,"Stockholm, Sweden",Avassa
Carl Hung,President & CEO,Hong Kong,Season Group
Carl Reuterskiold,CEO,"Stockholm, Sweden",Qbtech
Carlo Tortora Brayda,Chairman,"Perpignan, France",Tortora Brayda Institute
Carlos Melendez,Co-Founder & Chief Operating Officer,"San Juan, Puerto Rico",Wovenware
Carlos Morales,SVP of Solutions,"Leominster, MA",Vercara
Carmen Ene,CEO BNP Paribas 3 Step IT and 3stepIT,"Paris, France",3stepIT & BNP Paribas 3 Step IT
Caroline McCaffery,CEO,"New York, NY",ClearOPS
Caroline Wong,Chief Strategy Officer,"Portland, OR",Cobalt
Carolyn Raab,Chief Product Officer,"Ottawa, Canada",Corsa Security
Carsten Kraus,Founder & CEO,"Pforzheim, Germany",CK Holding GmbH | Casablanca.ai
Carter Busse,CIO,"San Francisco, CA",Workato
Casey Ellis,"Co-Founder, CTO, and Chairman of the Board","San Francisco, CA",Bugcrowd
Catherine Tabor,Founder & CEO,"Atlanta, GA",Sparkfly
Cecilia Retelle Zywicki,CEO,"Denver, CO",PATHWAYos
Cenk Sidar,Co-Founder & CEO,"Washington, DC",Enquire AI
Chad Billingsley,IT Manager,"San Francisco, CA",Coupa Software
Chad Steelberg,Chairman,"Orange County, CA",Veritone
Chafik Belhaoues,CEO,"New York, NY","Brainboard, Inc"
Chaitanya Vaidya,AI Founder with AI Patent,"Dallas, TX",AI Founder with AI Patent
Chaitra Vedullapalli,Co-founder and President,"Seattle, WA",Women in Cloud
Chakri Gottemukkala,Co-Founder and CEO,"Dallas, TX","o9 Solutions, Inc."
Chander Damodaran,Chief Technology Officer,India,Brillio
Chandra Khatri,Co-founder,"San Francisco, CA",Got It AI
Chandra Ranganathan,Co-Founder and COO,"San Francisco, CA",Opsera Inc.
Chandra Gundlapalli,"Senior Vice President, Digital Transformation","Dallas, TX",CriticalRiver
Chao Cheng-Shorland,Co-Founder and CEO at ShelterZoom,"New York, NY",ShelterZoom
Charan Gowda,Vice President of Information Technology,"Houston, TX",Mears Group Inc
Charles Sheppard,Chief Product Officer & Chief Operating Officer,"Toronto, ON, Canada",eCapital
Charles Aunger,"Managing Director, Technology","Menlo Park, CA",Health2047 - American Medical Association
Charles Bankston,SVP & Chief Information Officer,"Columbus, OH","NiSource, Inc."
Charles Xie,CEO,"Redwood City, CA",Zilliz Inc
Charlie Burgoyne,Founder & CEO,"Austin, TX",Valkyrie
Charlie Alsmiller,CEO,"Dallas, TX",APIWORX
Charos Boboyorova,Full Stack Low-Code Developer,"Miami, FL",Self-Employed
Chemi Katz,CEO and Co-Founder,"Tel Aviv-Yafo, Israel",Namogoo
Chen Zhuling,Founder & CEO,Singapore,RockX
Chengyang (Bryce) Yao,Founder/Chief Engineer,"San Francisco, CA",MagIC Lifescience
Chenyu Ren,Co-Founder,"San Francisco, CA","Markai, Inc."
Cheri Beranek,CEO,"Brooklyn Park, MN",Clearfield
Chester Wisniewski,Field CTO Applied Research,"Vancouver, BC, Canada",Sophos
Chet Kapoor,Chairman & CEO,"Santa Clara, CA",DataStax
Chetan Dube,CEO,"New York, NY",Amelia
Chetan Mathur,CEO,"Toronto, ON, Canada",Next Pathway
Chinmay Barve,VP of Engineering,"San Francisco, CA",Mixpanel
Chiranjiv Roy,"Global Head of Industry 5.0, Data Sciences & Applied AI","Bengaluru, Karnataka, India",Course5 Intelligence
Chithrai Mani,CEO,"Dallas, TX",Digit7
Chitra Sivanandam,Co-Founder,"Leesburg, VA","Rohirrim, Inc"
Chock Karuppaiah,Chief Technology Officer,"Newark, CA 94560",Ohmium International Inc.
Chris Bone,CEO,United Kingdom,Modulous
Chris Barbin,Chris Barbin - Founder & CEO,"Chicago, IL",Tercera
Chris James,CEO,"Denver, CO",Scaled Agile
Chris Gray,Chief Technology Officer,"Atlanta, GA",RENU Communities
Chris Heard,CEO & Co-founder,"Victoria, BC, Canada",Olive Technologies
Chris Savage,"Founder, CEO","Boston, MA","Wistia, Inc"
Chris Schueler,CEO,"Alpharetta, GA",Simeio
Chris Morton,Co-Founder / COO Cognito (Part of Plaid),California,Plaid
Chris Hewish,President,"Raleigh, NC",Xsolla
Chris DePuy,Technology Analyst and Founder,"Reno, NV",650 Group
Chris Ball,CTO,"Boston, MA",Echobind
Chris Stegner,CEO and Co-Founder,"Fort Lauderdale, FL",Very Big Things
Chris Wysopal,"CTO, co-founder","Concord, MA",Veracode
Chris Johnson,CEO,"Denver, CO",Effective Soft
Chris Holmes,CEO/President,"Washington, DC",Grey Matter
Chris Ciabarra,"CTO and Co-Founder, Athena Security Inc with Temperature Detection","Austin, TX",Athena Security Inc
Chris Novak,"Global Director, Threat Research Advisory Center","New York, NY",Verizon
Chris Kirby,Technology Advisor,"London, Canada",Retired
Chris Purcell,Vice President and Chief Information Officer,"Seattle, WA",PEMCO Mutual Insurance Company
Chris Copeland,Chief Technology Officer,"Dallas, TX",Bestow
Chris Fernandez,Co-founder & CEO,"Madison, WI",EnsoData
Chris Turlica,Chief Executive Officer,"Miami, FL",MaintainX Inc.
Chris Tse,Co-Founder,"New York, NY",Verifi Media
Chris MacFarland,Chairman and CEO,"Philadelphia, PA",Masergy
Chris Golec,Founder & CEO,"San Francisco, CA",Channel99
Chris Ortbals,Chief Product & Technology Officer,"Indianapolis, IN",Tangoe
Chris Mele,Managing Partner,"Charlotte, NC","Software Pricing Partners, LLC"
Chris Briggs,"Senior Vice President, Identity, and Head of Products","San Diego, CA",Mitek Systems
Chris Lafond,Chief Executive Officer,"Hartford, CT",Insurity
Christian Pedersen,Chief Product Officer,"Seattle, WA",IFS
Christian Ofori-Boateng,Chief Executive Officer,"Charlotte, NC",ChristianSteven Software
Christian Frahm,Founding CEO,"Copenhagen, Denmark",United Fintech
Christian Lund,Co-Founder,Denmark,Templafy
Christian Espinosa,CEO,"Tempe, AZ",Blue Goat Cyber
Christian Wiklund,CEO & Co-Founder,"San Francisco, CA",unitQ
Christian Monberg,Chief Technology Officer & Head of Product,California,Zeta Global (NYSE: ZETA)
Christina Luttrell,CEO,"Atlanta, GA","GBG Americas, comprised of Acuant and IDology"
Christina Cai,Co-founder and COO,"Toronto, Canada",Lydia AI
Christine Halvorsen,"Managing Director Technology, Media, and Telecommunications","Washington, DC",Protiviti
Christine Boles,"VP Network & Edge Group, GM Federal and Industrial Solutions","Chandler, AZ",Intel
Christine Bejerasco,Chief Information Security Officer,"Helsinki, Finland",WithSecure
Christoph Wagner,CEO,"Bonn, Germany",Scanbot SDK
Christophe Van de Weyer,Chief Executive Officer,"Los Angeles, CA",Telesign
Christopher Dean,Managing Director,"Brighton and Hove, UK",Digital Tactics Ltd.
Christopher Larkin,CTO,"Seattle, WA",Concord Technologies
Christopher Savoie,Founder and CEO,"Boston, MA","Zapata Computing, Inc."
Christopher Pierson,CEO & Founder,"Orlando, FL",BLACKCLOAK
Christopher Lazzaro,"Vice President, Solutions Engineering","Springfield, MO",Associated Electric Cooperative Inc.
Christopher Rogers,Chief Operating Officer,"San Antonio, TX",Carenet Health
Christopher Formant,CEO,California,Avocado Systems
Christopher Prewitt,CTO,"Cleveland, OH",Inversion6
Christopher Daden,Chief Technology Officer,"Los Angeles, CA",Criteria Corp
Christopher Nguyen,CEO/Co-founder,"Palo Alto, CA","Aitomatic, Inc."
Christopher Yang,"Vice President, Engineering","Los Angeles, CA",Away
Christopher Petersen,CTO,"San Diego, CA",Scientist.com
Christopher Stauffer,CEO,"Los Angeles, CA",STAUFFER
Christy Wyatt,Chief Executive Officer,"San Francisco, CA",Absolute
Chuck Herrin,CTO,"Dallas, TX","Wib Security, Ltd."
Chuck Canton,Founder and CEO,"New York, NY",Sourcepass Inc.
Claire Hough,Senior Vice President of Engineering,Europe,Udemy
Claire Rutkowski,"SVP, CIO Champion","Chicago, IL",Bentley Systems
Clare Hart,CEO,"New York, NY",Williams Lea
Claude Mandy,"Chief Evangelist, Data Security","Mill Valley, CA 94941",Symmetry Systems Inc
Claudio Mazzali,VP Global Research,New York State,Corning Incorporated
Claus Nussgruber,CEO and President,"Houston, TX","Utility Global, Inc."
Claus Jepsen,CTO,"Aarhus, Denmark",Unit4
Clay Johnson,Chief Digital and Technology Officer,"Louisville, KY",Yum!
Clayton Nicholas,Founder & CEO,"Nashville, TN",Vibronyx
Cleve Gibbon,Chief Technology Officer,"Seattle, WA",Wunderman Thompson
Clément Stenac,Co-founder & CTO,"Paris, France",Dataiku
Cody Cornell,Co-Founder and Chief Strategy Officer,"Denver, CO",Swimlane
Colin Parris,Chief Technology Officer,"Albany, NY",GE Digital
Colin Earl,CEO,"San Francisco, CA",Agiloft
Conal Byrne,"Chief Executive Officer, iHeartMedia Digital Audio Group","New York, NY",iHeartMedia
Conal Gallagher,CIO and CISO,"Chicago, IL",Flexera
Corey White,Founder and chief product and strategy officer,"Irvine, CA",Cyvatar
Corey Clothier,Founder/CEO ARIBO Autonomous Solutions,"Tampa, FL",ARIBO
Corey Nachreiner,Chief Security Officer,"Seattle, WA",WatchGuard Technologies Inc
Cory Cummings,CEO & Co-Founder,"San Diego, CA",Pack
Craig Costigan,CEO,"New York, NY",NICE Actimize
Craig Strong,Global Practice Leader - Innovation & Product,United Kingdom,AWS
Craig Bandes,President & CEO,"Baltimore, MD",pixelligent.com
Craig Unger,Chief Executive Officer and Founder,Florida,Hyperproof
Craig Ross,CEO,"Ontario, CA",Euna Solutions
Craig Powell,Chief Executive Officer,"Boston, MA","Motus, LLC"
Cristian Paun,Global Digital Strategist/Chief Digital Officer,Luxembourg,DuPont
Cristian Randieri,Founder,"96100 Syracuse, Free municipal consortium of Syracuse, Italy",Intellisystem Technologies
Cyril Korenbeusser,Chief Operational Resilience Officer - CIB Americas,"New York, NY",BNP Paribas
Cyrus Hadavi,CEO,"Los Angeles, CA","Adexa, Inc."
Dale Lutz,Co-founder,"Surrey, BC, Canada",Safe Software
Dale Renner,Founder/Chief Executive Officer,"Boston, MA",Redpoint Global Inc.
Damian Wasserman,Co-Founder,"Buenos Aires, Argentina",BEON.tech
Damon Fleury,Chief Product Officer (CPO),"Austin, TX",SpyCloud
